hodowca,sekcja,ptaki_wyslane,ptaki_klasyfikowane,straty_min_proc,srednia_predkosc,najlepsza_predkosc,kurs_stopnie,wiatr_opis,wiatr_proj_10m,temperatura_C,cisnienie_hPa,opady_mm,roznica_odleglosci_min_km,roznica_odleglosci_srednia_km
Lezianka E.T.,1,32,11,65.62,1013.96,1087.90,108.36,wiatr czołowy,-3.92,21.649999618530273,1020.0999755859375,0.0,0.00,16.70
Cielecki Maciej,5,28,14,50.00,1025.64,1085.13,110.51,wiatr czołowy,-3.54,20.017000198364258,1020.2999877929688,0.20000000298023224,0.00,13.27
Iwanowski Aleksander,3,22,11,50.00,1039.26,1084.64,108.83,wiatr czołowy,-3.02,21.75,1019.9000244140625,0.0,0.00,11.87
Swietochowski Marian,4,20,5,75.00,1028.93,1084.37,108.91,wiatr czołowy,-3.55,20.649999618530273,1020.2000122070312,0.0,0.00,8.65
Michalewski Adrian,2,52,19,63.46,1031.13,1083.89,109.36,wiatr czołowy,-3.50,20.75,1020.0999755859375,0.0,0.00,9.09
Nowicki Ireneusz,4,27,13,51.85,1026.79,1083.00,108.91,wiatr czołowy,-3.55,20.649999618530273,1020.2000122070312,0.0,0.00,8.65
Klak Zbigniew,3,23,10,56.52,1023.69,1082.59,108.83,wiatr czołowy,-3.02,21.75,1019.9000244140625,0.0,0.00,11.87
K. i O. Ogiejko,6,9,3,66.67,1055.65,1078.26,109.70,wiatr czołowy,-3.49,20.93199920654297,1020.0999755859375,0.0,0.00,8.52
Wyszomirski Janusz,6,25,8,68.00,1042.91,1075.35,109.70,wiatr czołowy,-3.49,20.93199920654297,1020.0999755859375,0.0,0.00,8.52
Rogal T i W,6,16,6,62.50,1016.72,1074.28,109.70,wiatr czołowy,-3.49,20.93199920654297,1020.0999755859375,0.0,0.00,8.52
Kubis Henryk,2,16,2,87.50,1037.65,1072.81,109.36,wiatr czołowy,-3.50,20.75,1020.0999755859375,0.0,0.00,9.09
Trocewicz Jan,4,16,7,56.25,1025.03,1070.83,108.91,wiatr czołowy,-3.52,20.75,1020.0999755859375,0.0,0.00,8.65
Popielarz Zdzislaw,2,25,8,68.00,1017.71,1069.24,109.36,wiatr czołowy,-3.50,20.75,1020.0999755859375,0.0,0.00,9.09
Bujnowski E Cydzik A,2,66,24,63.64,1008.19,1069.05,109.36,wiatr czołowy,-3.50,20.75,1020.0999755859375,0.0,0.00,9.09
Bielecki Mariusz,2,48,14,70.83,1024.08,1067.56,109.36,wiatr czołowy,-3.50,20.75,1020.0999755859375,0.0,0.00,9.09
Rynkiewicz Wieslaw,5,37,9,75.68,999.54,1062.46,110.51,wiatr czołowy,-3.62,19.91699981689453,1020.0999755859375,0.0,0.00,13.27
Rutkowski Jerzy,6,38,13,65.79,1006.82,1061.67,109.70,wiatr czołowy,-3.49,20.93199920654297,1020.0999755859375,0.0,0.00,8.52
Baut Grzegorz,6,22,5,77.27,1028.56,1059.54,109.70,wiatr czołowy,-3.49,20.93199920654297,1020.0999755859375,0.0,0.00,8.52
Paszkowski Stanislaw,4,27,4,85.19,1026.91,1059.36,108.91,wiatr czołowy,-3.52,20.75,1020.0999755859375,0.0,0.00,8.65
Celuch Andrzej,4,50,14,72.00,1018.58,1059.35,108.91,wiatr czołowy,-3.52,20.75,1020.0999755859375,0.0,0.00,8.65
Kozlowski Ryszard,6,25,7,72.00,1004.06,1057.15,109.70,wiatr czołowy,-3.49,20.93199920654297,1020.0999755859375,0.0,0.00,8.52
Twardochleb Jerzy,6,17,4,76.47,1010.38,1056.77,109.70,wiatr czołowy,-3.49,20.93199920654297,1020.0999755859375,0.0,0.00,8.52
Marczyk Roman,6,7,4,42.86,1010.03,1053.99,109.70,wiatr czołowy,-3.49,20.93199920654297,1020.0999755859375,0.0,0.00,8.52
Walega Franciszek,1,28,10,64.29,1018.27,1052.40,108.36,wiatr czołowy,-4.02,21.899999618530273,1019.7999877929688,0.0,0.00,16.70
Adamczyk Jozef,2,28,8,71.43,1011.21,1051.40,109.36,wiatr czołowy,-3.50,20.75,1020.0999755859375,0.0,0.00,9.09
Rybowicz Andrzej,1,27,6,77.78,1014.02,1047.71,108.36,wiatr czołowy,-4.02,21.899999618530273,1019.7999877929688,0.0,0.00,16.70
Polesiak Franciszek,4,46,7,84.78,998.66,1044.26,108.91,wiatr czołowy,-3.52,20.75,1020.0999755859375,0.0,0.00,8.65
Wiatr Marian,5,7,2,71.43,1017.19,1040.80,110.51,wiatr czołowy,-3.62,19.91699981689453,1020.0999755859375,0.0,0.00,13.27
Lachowicz Dariusz,3,17,4,76.47,1020.22,1034.76,108.83,wiatr czołowy,-3.02,21.75,1019.9000244140625,0.0,0.00,11.87
Bajgerowicz Jan,5,11,2,81.82,1001.65,1032.08,110.51,wiatr czołowy,-3.62,19.91699981689453,1020.0999755859375,0.0,0.00,13.27
Iwanow Mieczyslaw,1,15,5,66.67,994.38,1024.89,108.36,wiatr czołowy,-4.02,21.899999618530273,1019.7999877929688,0.0,0.00,16.70
Sudol Tadeusz,1,19,3,84.21,1006.22,1023.20,108.36,wiatr czołowy,-4.02,21.899999618530273,1019.7999877929688,0.0,0.00,16.70
Wierzbicki Janusz,1,16,1,93.75,1022.22,1022.22,108.36,wiatr czołowy,-4.02,21.899999618530273,1019.7999877929688,0.0,0.00,16.70
Mlodzieniewski Adam,2,31,6,80.65,984.14,1008.06,109.36,wiatr czołowy,-3.50,20.75,1020.0999755859375,0.0,0.00,9.09
Zieniewicz-Giezek,1,17,2,88.24,1007.77,1007.87,108.36,wiatr czołowy,-4.02,21.899999618530273,1019.7999877929688,0.0,0.00,16.70
Hajdasz Marcin,3,5,1,80.00,1001.32,1001.32,108.83,wiatr czołowy,-3.02,21.75,1019.9000244140625,0.0,0.00,11.87
Michalewski Grzegorz,2,16,1,93.75,997.38,997.38,109.36,wiatr czołowy,-3.50,20.75,1020.0999755859375,0.0,0.00,9.09
Dziurkowski Kazimierz,3,11,1,90.91,993.80,993.80,108.83,wiatr czołowy,-3.02,21.75,1019.9000244140625,0.0,0.00,11.87
Aniol Mariusz,4,22,2,90.91,986.89,992.54,108.91,wiatr czołowy,-3.52,20.75,1020.0999755859375,0.0,0.00,8.65
Scigan Stanislaw,4,28,5,82.14,975.76,985.65,108.91,wiatr czołowy,-3.52,20.75,1020.0999755859375,0.0,0.00,8.65
Bielawski Piotr,3,11,1,90.91,977.86,977.86,108.83,wiatr czołowy,-3.81,21.950000762939453,1019.7000122070312,0.0,0.00,11.87
Skoczynski Wieslaw,6,26,1,96.15,970.27,970.27,109.70,wiatr czołowy,-3.49,20.93199920654297,1020.0999755859375,0.0,0.00,8.52
